SecurityID,Date,Price,Volume,TotalReturn,splitAdj,SharesOutstanding,Adj,cap,Y,cap_rank
106858,2022-12-30,248.110000610352,866147,-0.00728200003504753,4,356812,5.22883605957031,88528625.5377808,2022,93
106566,1997-12-31,65.875,1290600,-0.00565999979153276,2,1343675,2.05890107154846,88514590.625,1997,14
207609,2017-12-29,73.620002746582,4496543,-0.00741499988362193,1,1201910,1,88484617.5011444,2017,66
104628,2000-12-29,86.75,2618400,-0.00287399999797344,4,1019400,4.38689804077148,88432950,2000,29
110810,2020-12-31,176.529998779297,2571328,0.0152399996295571,12,500773,18.5533599853516,88401457.0787048,2020,92
106967,2001-12-31,78.5400009155273,2001400,-0.0162829998880625,2,1124208,2.18340706825256,88295297.3492432,2001,25
105785,2016-12-30,115.849998474121,2285556,-0.00129299995023757,2,762125,3.1507740020752,88292180.0870895,2016,55
207608,2015-12-31,72.7600021362305,1857050,-0.0134239997714758,1,1213456,1.02351403236389,88291061.1522217,2015,52
103879,2012-12-31,49.7900009155273,10224498,0.0130209997296333,3,1772122,3.61540699005127,88233956.0024261,2012,34
111089,2014-12-31,47.7799987792969,1081788,-0.000209000005270354,4,1846243,7.12011480331421,88213488.2862854,2014,54
102082,1999-12-31,46.8125,605100,0,2,1882319,2.22782492637634,88116058.1875,1999,30
135403,2008-12-31,43.5099983215332,7886032,-0.00910999998450279,1,2023034,1.0323029756546,88022205.9444046,2008,19
109956,2015-12-31,69.75,5271122,0.00158000004012138,4,1261104,5.26561594009399,87962004,2015,53
108893,2004-12-31,52.2000007629395,1772200,-0.000957000011112541,2,1684480,2.2717010974884,87929857.2851563,2004,24
112717,2020-12-31,141.460006713867,2696684,0.0138320000842214,1,620509,3.4075129032135,87777207.306015,2020,93
105700,2008-12-31,36.2900009155273,12818375,0.00276300008408725,4,2416201,5.80239820480347,87683936.5020981,2008,20
103049,2022-12-30,45.2299995422363,11802830,0.00155000004451722,0.599996984004974,1936850,1.02256000041962,87603724.6133804,2022,94
100972,2011-12-30,56.2299995422363,4117783,-0.0017750000115484,2,1557796,3.10801196098328,87594868.3668976,2011,28
102349,2013-12-31,53.1500015258789,3994897,0.00168500002473593,4,1646543,8.16053295135498,87513762.9624252,2013,44
104866,2016-12-30,51.3699989318848,5184607,0.00136500003281981,9,1699676,16.4966907501221,87312354.3045502,2016,56
105155,2008-12-31,82.9100036621094,2220071,0.00765699986368418,8,1052034,8,87224142.7926636,2008,21
109820,2011-12-30,125.5,95534724,-0.00491600017994642,1,694780,1.31528902053833,87194890,2011,29
